DATE,watershed,Precip
8/21/1956,W1,6.3
8/22/1956,W1,0
8/23/1956,W1,0
8/24/1956,W1,16.5
8/25/1956,W1,0
8/26/1956,W1,3.8
8/27/1956,W1,0
8/28/1956,W1,0
8/29/1956,W1,0
8/30/1956,W1,14.5
8/31/1956,W1,31.2
9/1/1956,W1,6.9
9/2/1956,W1,11.7
9/3/1956,W1,0
9/4/1956,W1,0
9/5/1956,W1,0
9/6/1956,W1,24.4
9/7/1956,W1,2.3
9/8/1956,W1,0
9/9/1956,W1,0
9/10/1956,W1,0
9/11/1956,W1,0
9/12/1956,W1,0
9/13/1956,W1,0
9/14/1956,W1,6.9
9/15/1956,W1,1.3
9/16/1956,W1,14.7
9/17/1956,W1,37.8
9/18/1956,W1,2
9/19/1956,W1,0
9/20/1956,W1,24.4
9/21/1956,W1,1
9/22/1956,W1,0
9/23/1956,W1,19
9/24/1956,W1,20.1
9/25/1956,W1,0
9/26/1956,W1,0
9/27/1956,W1,0
9/28/1956,W1,0
9/29/1956,W1,0
9/30/1956,W1,0
10/1/1956,W1,0
10/2/1956,W1,5.3
10/3/1956,W1,0.5
10/4/1956,W1,6.3
10/5/1956,W1,0
10/6/1956,W1,3
10/7/1956,W1,36.3
10/8/1956,W1,1.5
10/9/1956,W1,0
10/10/1956,W1,0
10/11/1956,W1,0
10/12/1956,W1,0
10/13/1956,W1,0
10/14/1956,W1,0
10/15/1956,W1,0
10/16/1956,W1,0
10/17/1956,W1,0
10/18/1956,W1,0
10/19/1956,W1,0
10/20/1956,W1,0
10/21/1956,W1,0
10/22/1956,W1,0.8
10/23/1956,W1,6.6
10/24/1956,W1,0
10/25/1956,W1,0
10/26/1956,W1,0
10/27/1956,W1,0
10/28/1956,W1,0
10/29/1956,W1,0
10/30/1956,W1,0
10/31/1956,W1,1
11/1/1956,W1,20.6
11/2/1956,W1,0
11/3/1956,W1,0
11/4/1956,W1,0
11/5/1956,W1,0
11/6/1956,W1,0
11/7/1956,W1,0
11/8/1956,W1,0
11/9/1956,W1,1.8
11/10/1956,W1,0
11/11/1956,W1,7.9
11/12/1956,W1,2
11/13/1956,W1,1.5
11/14/1956,W1,0
11/15/1956,W1,0
11/16/1956,W1,0
11/17/1956,W1,0
11/18/1956,W1,14.2
11/19/1956,W1,0
11/20/1956,W1,0
11/21/1956,W1,36.1
11/22/1956,W1,1.8
11/23/1956,W1,0
11/24/1956,W1,0
11/25/1956,W1,0.3
11/26/1956,W1,6.9
11/27/1956,W1,0.5
11/28/1956,W1,0.5
11/29/1956,W1,0
11/30/1956,W1,0
12/1/1956,W1,0.3
12/2/1956,W1,1
12/3/1956,W1,10.9
12/4/1956,W1,2
12/5/1956,W1,0
12/6/1956,W1,11.4
12/7/1956,W1,3.6
12/8/1956,W1,2.8
12/9/1956,W1,16
12/10/1956,W1,0.8
12/11/1956,W1,0.8
12/12/1956,W1,2.3
12/13/1956,W1,4.3
12/14/1956,W1,4.8
12/15/1956,W1,3.3
12/16/1956,W1,7.1
12/17/1956,W1,0
12/18/1956,W1,2
12/19/1956,W1,0
12/20/1956,W1,0
12/21/1956,W1,0
12/22/1956,W1,8.9
12/23/1956,W1,2.5
12/24/1956,W1,7.1
12/25/1956,W1,3
12/26/1956,W1,0
12/27/1956,W1,6.1
12/28/1956,W1,2.3
12/29/1956,W1,17
12/30/1956,W1,1.5
12/31/1956,W1,5.3
1/1/1957,W1,0
1/1/1957,W2,0
1/2/1957,W1,0
1/2/1957,W2,0
1/3/1957,W1,0
1/3/1957,W2,0
1/4/1957,W1,0.8
1/4/1957,W2,0.8
1/5/1957,W1,0.5
1/5/1957,W2,0.5
1/6/1957,W1,0.8
1/6/1957,W2,0.8
1/7/1957,W1,5.1
1/7/1957,W2,5.1
1/8/1957,W1,0
1/8/1957,W2,0
1/9/1957,W1,0.8
1/9/1957,W2,0.8
1/10/1957,W1,9.1
1/10/1957,W2,9.4
1/11/1957,W1,0
1/11/1957,W2,0
1/12/1957,W1,1
1/12/1957,W2,1
1/13/1957,W1,1.5
1/13/1957,W2,1.5
1/14/1957,W1,0.5
1/14/1957,W2,0.5
1/15/1957,W1,2.8
1/15/1957,W2,3
1/16/1957,W1,5.8
1/16/1957,W2,5.8
1/17/1957,W1,0
1/17/1957,W2,0
1/18/1957,W1,0
1/18/1957,W2,0
1/19/1957,W1,0
1/19/1957,W2,0
1/20/1957,W1,0
1/20/1957,W2,0
1/21/1957,W1,0
1/21/1957,W2,0
1/22/1957,W1,9.1
1/22/1957,W2,9.1
1/23/1957,W1,14.5
1/23/1957,W2,14.5
1/24/1957,W1,0
1/24/1957,W2,0
1/25/1957,W1,2.3
1/25/1957,W2,2.5
1/26/1957,W1,0.5
1/26/1957,W2,0.5
1/27/1957,W1,0
1/27/1957,W2,0
1/28/1957,W1,0
1/28/1957,W2,0
1/29/1957,W1,15.5
1/29/1957,W2,15.7
1/30/1957,W1,0
1/30/1957,W2,0
1/31/1957,W1,0
1/31/1957,W2,0
2/1/1957,W1,0
2/1/1957,W2,0
2/2/1957,W1,0
2/2/1957,W2,0
2/3/1957,W1,0
2/3/1957,W2,0
2/4/1957,W1,0.5
2/4/1957,W2,0.5
2/5/1957,W1,0
2/5/1957,W2,0
2/6/1957,W1,0
2/6/1957,W2,0
2/7/1957,W1,0
2/7/1957,W2,0
2/8/1957,W1,0
2/8/1957,W2,0
2/9/1957,W1,16.8
2/9/1957,W2,16.8
2/10/1957,W1,1.8
2/10/1957,W2,2
2/11/1957,W1,0
2/11/1957,W2,0
2/12/1957,W1,0
2/12/1957,W2,0
2/13/1957,W1,0
2/13/1957,W2,0
2/14/1957,W1,0
2/14/1957,W2,0
2/15/1957,W1,0
2/15/1957,W2,0
2/16/1957,W1,7.1
2/16/1957,W2,7.1
2/17/1957,W1,2.8
2/17/1957,W2,2.8
2/18/1957,W1,0
2/18/1957,W2,0
2/19/1957,W1,0
2/19/1957,W2,0
2/20/1957,W1,0
2/20/1957,W2,0
2/21/1957,W1,0
2/21/1957,W2,0
2/22/1957,W1,0
2/22/1957,W2,0
2/23/1957,W1,1.3
2/23/1957,W2,1.3
2/24/1957,W1,0
2/24/1957,W2,0
2/25/1957,W1,2
2/25/1957,W2,2
2/26/1957,W1,18.5
2/26/1957,W2,18.8
2/27/1957,W1,13.5
2/27/1957,W2,13.5
2/28/1957,W1,0
2/28/1957,W2,0
3/1/1957,W1,2.8
3/1/1957,W2,2.8
3/2/1957,W1,2.5
3/2/1957,W2,2.5
3/3/1957,W1,0
3/3/1957,W2,0
3/4/1957,W1,0
3/4/1957,W2,0
3/5/1957,W1,0
3/5/1957,W2,0
3/6/1957,W1,0
3/6/1957,W2,0
3/7/1957,W1,0
3/7/1957,W2,0
3/8/1957,W1,4.6
3/8/1957,W2,4.6
3/9/1957,W1,22.1
3/9/1957,W2,22.4
3/10/1957,W1,0.8
3/10/1957,W2,0.8
3/11/1957,W1,0
3/11/1957,W2,0
3/12/1957,W1,0
3/12/1957,W2,0
3/13/1957,W1,0
3/13/1957,W2,0
3/14/1957,W1,0
3/14/1957,W2,0
3/15/1957,W1,10.7
3/15/1957,W2,10.7
3/16/1957,W1,3.6
3/16/1957,W2,3.6
3/17/1957,W1,1
3/17/1957,W2,1
3/18/1957,W1,0
3/18/1957,W2,0
3/19/1957,W1,0
3/19/1957,W2,0
3/20/1957,W1,0
3/20/1957,W2,0
3/21/1957,W1,0
3/21/1957,W2,0
3/22/1957,W1,0
3/22/1957,W2,0
3/23/1957,W1,0
3/23/1957,W2,0
3/24/1957,W1,0
3/24/1957,W2,0
3/25/1957,W1,0
3/25/1957,W2,0
3/26/1957,W1,0
3/26/1957,W2,0
3/27/1957,W1,0
3/27/1957,W2,0
3/28/1957,W1,0
3/28/1957,W2,0
3/29/1957,W1,0
3/29/1957,W2,0
3/30/1957,W1,0
3/30/1957,W2,0
3/31/1957,W1,0
3/31/1957,W2,0
4/1/1957,W1,0
4/1/1957,W2,0
4/2/1957,W1,18.3
4/2/1957,W2,18.5
4/3/1957,W1,0
4/3/1957,W2,0
4/4/1957,W1,0
4/4/1957,W2,0
4/5/1957,W1,9.1
4/5/1957,W2,9.1
4/6/1957,W1,5.3
4/6/1957,W2,5.6
4/7/1957,W1,1
4/7/1957,W2,1
4/8/1957,W1,0
4/8/1957,W2,0
4/9/1957,W1,7.6
4/9/1957,W2,7.6
4/10/1957,W1,1.3
4/10/1957,W2,1.3
4/11/1957,W1,0
4/11/1957,W2,0
4/12/1957,W1,7.6
4/12/1957,W2,7.6
4/13/1957,W1,0
4/13/1957,W2,0
4/14/1957,W1,1.5
4/14/1957,W2,1.5
4/15/1957,W1,0
4/15/1957,W2,0
4/16/1957,W1,0
4/16/1957,W2,0
4/17/1957,W1,1.3
4/17/1957,W2,1.3
4/18/1957,W1,0
4/18/1957,W2,0
4/19/1957,W1,0
4/19/1957,W2,0
4/20/1957,W1,0
4/20/1957,W2,0
4/21/1957,W1,0
4/21/1957,W2,0
4/22/1957,W1,0
4/22/1957,W2,0
4/23/1957,W1,0
4/23/1957,W2,0
4/24/1957,W1,0
4/24/1957,W2,0
4/25/1957,W1,1.3
4/25/1957,W2,1.3
4/26/1957,W1,0.5
4/26/1957,W2,0.5
4/27/1957,W1,0
4/27/1957,W2,0
4/28/1957,W1,0
4/28/1957,W2,0
4/29/1957,W1,5.8
4/29/1957,W2,5.8
4/30/1957,W1,0.3
4/30/1957,W2,0.3
5/1/1957,W1,0
5/1/1957,W2,0
5/2/1957,W1,0
5/2/1957,W2,0
5/3/1957,W1,0.5
5/3/1957,W2,0.5
5/4/1957,W1,0
5/4/1957,W2,0
5/5/1957,W1,0
5/5/1957,W2,0
5/6/1957,W1,0
5/6/1957,W2,0
5/7/1957,W1,0
5/7/1957,W2,0
5/8/1957,W1,0
5/8/1957,W2,0
5/9/1957,W1,0
5/9/1957,W2,0
5/10/1957,W1,3.8
5/10/1957,W2,3.8
5/11/1957,W1,0
5/11/1957,W2,0
5/12/1957,W1,0.8
5/12/1957,W2,0.8
5/13/1957,W1,1.8
5/13/1957,W2,1.8
5/14/1957,W1,7.9
5/14/1957,W2,7.9
5/15/1957,W1,19.3
5/15/1957,W2,19.3
5/16/1957,W1,0
5/16/1957,W2,0
5/17/1957,W1,0
5/17/1957,W2,0
5/18/1957,W1,0
5/18/1957,W2,0
5/19/1957,W1,1.3
5/19/1957,W2,1.3
5/20/1957,W1,31
5/20/1957,W2,30.7
5/21/1957,W1,0
5/21/1957,W2,0
5/22/1957,W1,0.8
5/22/1957,W2,0.5
5/23/1957,W1,0
5/23/1957,W2,0
5/24/1957,W1,0
5/24/1957,W2,0
5/25/1957,W1,0
5/25/1957,W2,0
5/26/1957,W1,14.2
5/26/1957,W2,14.2
5/27/1957,W1,5.8
5/27/1957,W2,5.8
5/28/1957,W1,0
5/28/1957,W2,0
5/29/1957,W1,0
5/29/1957,W2,0
5/30/1957,W1,0
5/30/1957,W2,0
5/31/1957,W1,0
5/31/1957,W2,0
6/1/1957,W1,0
6/1/1957,W2,0
6/2/1957,W1,16.8
6/2/1957,W2,16.8
6/3/1957,W1,0
6/3/1957,W2,0
6/4/1957,W1,2.5
6/4/1957,W2,2.5
6/5/1957,W1,0
6/5/1957,W2,0
6/6/1957,W1,0
6/6/1957,W2,0
6/7/1957,W1,11.9
6/7/1957,W2,12.2
6/8/1957,W1,0
6/8/1957,W2,0
6/9/1957,W1,0
6/9/1957,W2,0
6/10/1957,W1,0
6/10/1957,W2,0
6/11/1957,W1,0
6/11/1957,W2,0
6/12/1957,W1,2.8
6/12/1957,W2,2.8
6/13/1957,W1,0
6/13/1957,W2,0
6/14/1957,W1,0.8
6/14/1957,W2,0.8
6/15/1957,W1,0.5
6/15/1957,W2,0.5
6/16/1957,W1,0
6/16/1957,W2,0
6/17/1957,W1,0
6/17/1957,W2,0
6/18/1957,W1,0
6/18/1957,W2,0
6/19/1957,W1,11.4
6/19/1957,W2,11.2
6/20/1957,W1,0
6/20/1957,W2,0
6/21/1957,W1,0
6/21/1957,W2,0
6/22/1957,W1,0
6/22/1957,W2,0
6/23/1957,W1,15.7
6/23/1957,W2,15.7
6/24/1957,W1,0
6/24/1957,W2,0
6/25/1957,W1,15.7
6/25/1957,W2,15.7
6/26/1957,W1,15
6/26/1957,W2,15
6/27/1957,W1,18.8
6/27/1957,W2,18.8
6/28/1957,W1,0.8
6/28/1957,W2,0.8
6/29/1957,W1,26.2
6/29/1957,W2,26.4
6/30/1957,W1,4.1
6/30/1957,W2,4.1
7/1/1957,W1,1.5
7/1/1957,W2,1.5
7/2/1957,W1,0
7/2/1957,W2,0
7/3/1957,W1,22.9
7/3/1957,W2,22.9
7/4/1957,W1,3.6
7/4/1957,W2,3.6
7/5/1957,W1,33.8
7/5/1957,W2,33.8
7/6/1957,W1,0
7/6/1957,W2,0
7/7/1957,W1,0
7/7/1957,W2,0
7/8/1957,W1,0
7/8/1957,W2,0
7/9/1957,W1,15
7/9/1957,W2,15.2
7/10/1957,W1,0
7/10/1957,W2,0
7/11/1957,W1,0
7/11/1957,W2,0
7/12/1957,W1,0
7/12/1957,W2,0
7/13/1957,W1,0
7/13/1957,W2,0
7/14/1957,W1,3.6
7/14/1957,W2,3.8
7/15/1957,W1,0
7/15/1957,W2,0
7/16/1957,W1,0
7/16/1957,W2,0
7/17/1957,W1,0
7/17/1957,W2,0
7/18/1957,W1,0
7/18/1957,W2,0
7/19/1957,W1,0
7/19/1957,W2,0
7/20/1957,W1,0
7/20/1957,W2,0
7/21/1957,W1,2.5
7/21/1957,W2,2.3
7/22/1957,W1,14
7/22/1957,W2,14
7/23/1957,W1,0
7/23/1957,W2,0
7/24/1957,W1,0
7/24/1957,W2,0
7/25/1957,W1,0
7/25/1957,W2,0
7/26/1957,W1,0
7/26/1957,W2,0
7/27/1957,W1,2.3
7/27/1957,W2,2.3
7/28/1957,W1,23.1
7/28/1957,W2,22.9
7/29/1957,W1,13
7/29/1957,W2,13
7/30/1957,W1,0
7/30/1957,W2,0
7/31/1957,W1,2
7/31/1957,W2,2
8/1/1957,W1,0
8/1/1957,W2,0
8/2/1957,W1,0
8/2/1957,W2,0
8/3/1957,W1,0
8/3/1957,W2,0
8/4/1957,W1,0.5
8/4/1957,W2,0.5
8/5/1957,W1,0
8/5/1957,W2,0
8/6/1957,W1,0
8/6/1957,W2,0
8/7/1957,W1,0
8/7/1957,W2,0
8/8/1957,W1,0
8/8/1957,W2,0
8/9/1957,W1,0
8/9/1957,W2,0
8/10/1957,W1,4.8
8/10/1957,W2,4.8
8/11/1957,W1,2.8
8/11/1957,W2,2.8
8/12/1957,W1,0
8/12/1957,W2,0
8/13/1957,W1,0
8/13/1957,W2,0
8/14/1957,W1,0
8/14/1957,W2,0
8/15/1957,W1,2.5
8/15/1957,W2,2.3
8/16/1957,W1,5.1
8/16/1957,W2,4.8
8/17/1957,W1,0
8/17/1957,W2,0
8/18/1957,W1,0
8/18/1957,W2,0
8/19/1957,W1,0
8/19/1957,W2,0
8/20/1957,W1,0
8/20/1957,W2,0
8/21/1957,W1,0
8/21/1957,W2,0
8/22/1957,W1,0
8/22/1957,W2,0
8/23/1957,W1,0
8/23/1957,W2,0
8/24/1957,W1,0
8/24/1957,W2,0
8/25/1957,W1,2.8
8/25/1957,W2,2.8
8/26/1957,W1,0
8/26/1957,W2,0
8/27/1957,W1,0
8/27/1957,W2,0
8/28/1957,W1,0
8/28/1957,W2,0
8/29/1957,W1,0
8/29/1957,W2,0
8/30/1957,W1,0
8/30/1957,W2,0
8/31/1957,W1,0
8/31/1957,W2,0
9/1/1957,W1,0
9/1/1957,W2,0
9/2/1957,W1,5.3
9/2/1957,W2,5.6
9/3/1957,W1,11.4
9/3/1957,W2,11.7
9/4/1957,W1,0
9/4/1957,W2,0
9/5/1957,W1,0
9/5/1957,W2,0
9/6/1957,W1,0
9/6/1957,W2,0
9/7/1957,W1,1
9/7/1957,W2,1.3
9/8/1957,W1,0.8
9/8/1957,W2,0.8
9/9/1957,W1,0
9/9/1957,W2,0
9/10/1957,W1,0.5
9/10/1957,W2,0.5
9/11/1957,W1,5.3
9/11/1957,W2,5.3
9/12/1957,W1,0
9/12/1957,W2,0
9/13/1957,W1,0
9/13/1957,W2,0
9/14/1957,W1,0
9/14/1957,W2,0
9/15/1957,W1,5.1
9/15/1957,W2,5.1
9/16/1957,W1,20.1
9/16/1957,W2,20.1
9/17/1957,W1,0
9/17/1957,W2,0
9/18/1957,W1,0
9/18/1957,W2,0
9/19/1957,W1,0
9/19/1957,W2,0
9/20/1957,W1,1.5
9/20/1957,W2,1.5
9/21/1957,W1,0
9/21/1957,W2,0
9/22/1957,W1,19.6
9/22/1957,W2,19.6
9/23/1957,W1,7.6
9/23/1957,W2,7.6
9/24/1957,W1,0
9/24/1957,W2,0
9/25/1957,W1,0
9/25/1957,W2,0
9/26/1957,W1,0
9/26/1957,W2,0
9/27/1957,W1,0
9/27/1957,W2,0
9/28/1957,W1,0
9/28/1957,W2,0
9/29/1957,W1,0
9/29/1957,W2,0
9/30/1957,W1,0
9/30/1957,W2,0
10/1/1957,W1,0
10/1/1957,W2,0
10/2/1957,W1,0
10/2/1957,W2,0
10/3/1957,W1,0
10/3/1957,W2,0
10/4/1957,W1,0
10/4/1957,W2,0
10/5/1957,W1,0
10/5/1957,W2,0
10/6/1957,W1,0
10/6/1957,W2,0
10/7/1957,W1,8.6
10/7/1957,W2,8.6
10/8/1957,W1,9.7
10/8/1957,W2,9.7
10/9/1957,W1,0
10/9/1957,W2,0
10/10/1957,W1,0
10/10/1957,W2,0
10/11/1957,W1,0
10/11/1957,W2,0
10/12/1957,W1,0
10/12/1957,W2,0
10/13/1957,W1,0
10/13/1957,W2,0
10/14/1957,W1,0
10/14/1957,W2,0
10/15/1957,W1,0
10/15/1957,W2,0
10/16/1957,W1,0
10/16/1957,W2,0
10/17/1957,W1,0
10/17/1957,W2,0
10/18/1957,W1,12.4
10/18/1957,W2,12.7
10/19/1957,W1,40.4
10/19/1957,W2,40.6
10/20/1957,W1,0
10/20/1957,W2,0
10/21/1957,W1,0
10/21/1957,W2,0
10/22/1957,W1,0
10/22/1957,W2,0
10/23/1957,W1,0
10/23/1957,W2,0
10/24/1957,W1,38.9
10/24/1957,W2,38.9
10/25/1957,W1,0
10/25/1957,W2,0
10/26/1957,W1,0
10/26/1957,W2,0
10/27/1957,W1,0
10/27/1957,W2,0
10/28/1957,W1,0
10/28/1957,W2,0
10/29/1957,W1,0
10/29/1957,W2,0
10/30/1957,W1,0
10/30/1957,W2,0
10/31/1957,W1,0
10/31/1957,W2,0
11/1/1957,W1,10.9
11/1/1957,W2,10.9
11/2/1957,W1,3.6
11/2/1957,W2,3.6
11/3/1957,W1,39.1
11/3/1957,W2,39.4
11/4/1957,W1,3.8
11/4/1957,W2,3.8
11/5/1957,W1,0
11/5/1957,W2,0
11/6/1957,W1,0
11/6/1957,W2,0
11/7/1957,W1,0
11/7/1957,W2,0
11/8/1957,W1,16.5
11/8/1957,W2,16.5
11/9/1957,W1,1
11/9/1957,W2,1
11/10/1957,W1,0.5
11/10/1957,W2,0.5
11/11/1957,W1,0
11/11/1957,W2,0
11/12/1957,W1,0
11/12/1957,W2,0
11/13/1957,W1,0
11/13/1957,W2,0
11/14/1957,W1,10.4
11/14/1957,W2,10.4
11/15/1957,W1,36.3
11/15/1957,W2,36.3
11/16/1957,W1,2
11/16/1957,W2,2
11/17/1957,W1,3
11/17/1957,W2,3
11/18/1957,W1,2.8
11/18/1957,W2,3
11/19/1957,W1,15.7
11/19/1957,W2,16
11/20/1957,W1,0.5
11/20/1957,W2,0.5
11/21/1957,W1,0
11/21/1957,W2,0
11/22/1957,W1,0
11/22/1957,W2,0
11/23/1957,W1,0
11/23/1957,W2,0
11/24/1957,W1,2.5
11/24/1957,W2,2.5
11/25/1957,W1,0
11/25/1957,W2,0
11/26/1957,W1,0
11/26/1957,W2,0
11/27/1957,W1,0
11/27/1957,W2,0
11/28/1957,W1,0
11/28/1957,W2,0
11/29/1957,W1,9.7
11/29/1957,W2,9.4
11/30/1957,W1,20.1
11/30/1957,W2,19.8
12/1/1957,W1,2.5
12/1/1957,W2,2.3
12/2/1957,W1,4.3
12/2/1957,W2,4.3
12/3/1957,W1,0.3
12/3/1957,W2,0.3
12/4/1957,W1,0
12/4/1957,W2,0
12/5/1957,W1,0
12/5/1957,W2,0
12/6/1957,W1,0
12/6/1957,W2,0
12/7/1957,W1,7.1
12/7/1957,W2,7.1
12/8/1957,W1,0.3
12/8/1957,W2,0.3
12/9/1957,W1,8.6
12/9/1957,W2,8.6
12/10/1957,W1,47.2
12/10/1957,W2,47.8
12/11/1957,W1,7.4
12/11/1957,W2,7.4
12/12/1957,W1,12.7
12/12/1957,W2,13
12/13/1957,W1,0
12/13/1957,W2,0
12/14/1957,W1,2.3
12/14/1957,W2,2.5
12/15/1957,W1,0
12/15/1957,W2,0
12/16/1957,W1,3.8
12/16/1957,W2,3.8
12/17/1957,W1,0
12/17/1957,W2,0
12/18/1957,W1,0
12/18/1957,W2,0
12/19/1957,W1,18
12/19/1957,W2,18
12/20/1957,W1,25.7
12/20/1957,W2,25.4
12/21/1957,W1,37.1
12/21/1957,W2,36.8
12/22/1957,W1,0
12/22/1957,W2,0
12/23/1957,W1,0
12/23/1957,W2,0
12/24/1957,W1,0.8
12/24/1957,W2,0.8
12/25/1957,W1,0
12/25/1957,W2,0
12/26/1957,W1,40.9
12/26/1957,W2,40.1
12/27/1957,W1,2.3
12/27/1957,W2,2
12/28/1957,W1,0
12/28/1957,W2,0
12/29/1957,W1,0
12/29/1957,W2,0
12/30/1957,W1,0
12/30/1957,W2,0
12/31/1957,W1,0
12/31/1957,W2,0
1/1/1958,W1,34.3
1/1/1958,W2,34
1/1/1958,W3,31.5
1/2/1958,W1,0
1/2/1958,W2,0
1/2/1958,W3,0
1/3/1958,W1,0
1/3/1958,W2,0
1/3/1958,W3,0
1/4/1958,W1,0
1/4/1958,W2,0
1/4/1958,W3,0
1/5/1958,W1,0
1/5/1958,W2,0
1/5/1958,W3,0
1/6/1958,W1,0
1/6/1958,W2,0
1/6/1958,W3,0
1/7/1958,W1,12.7
1/7/1958,W2,13
1/7/1958,W3,13.7
1/8/1958,W1,19.8
1/8/1958,W2,20.1
1/8/1958,W3,21.6
1/9/1958,W1,0
1/9/1958,W2,0
1/9/1958,W3,0
1/10/1958,W1,0
1/10/1958,W2,0
1/10/1958,W3,0
1/11/1958,W1,1.5
1/11/1958,W2,1.5
1/11/1958,W3,1.8
1/12/1958,W1,0
1/12/1958,W2,0
1/12/1958,W3,0
1/13/1958,W1,0
1/13/1958,W2,0
1/13/1958,W3,0
1/14/1958,W1,0
1/14/1958,W2,0
1/14/1958,W3,0
1/15/1958,W1,16.3
1/15/1958,W2,16.3
1/15/1958,W3,14.7
1/16/1958,W1,11.4
1/16/1958,W2,11.4
1/16/1958,W3,10.4
1/17/1958,W1,1
1/17/1958,W2,1
1/17/1958,W3,1
1/18/1958,W1,1.3
1/18/1958,W2,1.3
1/18/1958,W3,1.3
1/19/1958,W1,0
1/19/1958,W2,0
1/19/1958,W3,0
1/20/1958,W1,0
1/20/1958,W2,0
1/20/1958,W3,0
1/21/1958,W1,4.6
1/21/1958,W2,4.8
1/21/1958,W3,4.8
1/22/1958,W1,38.1
1/22/1958,W2,38.6
1/22/1958,W3,38.6
1/23/1958,W1,4.8
1/23/1958,W2,4.8
1/23/1958,W3,4.8
1/24/1958,W1,0
1/24/1958,W2,0
1/24/1958,W3,0
1/25/1958,W1,1.5
1/25/1958,W2,1.5
1/25/1958,W3,1.5
1/26/1958,W1,3
1/26/1958,W2,3.3
1/26/1958,W3,3.3
1/27/1958,W1,9.4
1/27/1958,W2,9.7
1/27/1958,W3,9.7
1/28/1958,W1,20.1
1/28/1958,W2,20.3
1/28/1958,W3,20.3
1/29/1958,W1,20.6
1/29/1958,W2,20.8
1/29/1958,W3,20.8
1/30/1958,W1,0.5
1/30/1958,W2,0.5
1/30/1958,W3,0.5
1/31/1958,W1,1.5
1/31/1958,W2,1.8
1/31/1958,W3,1.5
2/1/1958,W1,0
2/1/1958,W2,0
2/1/1958,W3,0
2/2/1958,W1,1
2/2/1958,W2,1
2/2/1958,W3,1
2/3/1958,W1,0
2/3/1958,W2,0
2/3/1958,W3,0
2/4/1958,W1,0
2/4/1958,W2,0
2/4/1958,W3,0
2/5/1958,W1,0
2/5/1958,W2,0
2/5/1958,W3,0
2/6/1958,W1,0
2/6/1958,W2,0
2/6/1958,W3,0
2/7/1958,W1,7.4
2/7/1958,W2,7.6
2/7/1958,W3,7.4
2/8/1958,W1,17.5
2/8/1958,W2,17.5
2/8/1958,W3,17
2/9/1958,W1,4.8
2/9/1958,W2,4.8
2/9/1958,W3,4.6
2/10/1958,W1,0
2/10/1958,W2,0
2/10/1958,W3,0
2/11/1958,W1,0
2/11/1958,W2,0
2/11/1958,W3,0
2/12/1958,W1,0
2/12/1958,W2,0
2/12/1958,W3,0
2/13/1958,W1,0
2/13/1958,W2,0
2/13/1958,W3,0
2/14/1958,W1,0
2/14/1958,W2,0
2/14/1958,W3,0
2/15/1958,W1,0
2/15/1958,W2,0
2/15/1958,W3,0
2/16/1958,W1,9.9
2/16/1958,W2,10.2
2/16/1958,W3,9.7
2/17/1958,W1,9.7
2/17/1958,W2,9.9
2/17/1958,W3,9.4
2/18/1958,W1,0
2/18/1958,W2,0
2/18/1958,W3,0
2/19/1958,W1,0
2/19/1958,W2,0
2/19/1958,W3,0
2/20/1958,W1,0
2/20/1958,W2,0
2/20/1958,W3,0
2/21/1958,W1,0
2/21/1958,W2,0
2/21/1958,W3,0
