"WaterYear","precip_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1974,1307.6,1072.44,341.3,505.18,1671.22,-888.88,-888.88,-888.88,-888.88,2212.11,788.5603,32852.9,20372.31,4922.22,67.16,-888.88,-888.88,-888.88,736.81,-888.88,-888.88,-888.88
1975,1769.4,1007.87,263.19,422.71,894.04,-888.88,-888.88,-888.88,-888.88,2150.34,973.3457,37521.5,21725.31,3243.59,116.18,-888.88,-888.88,-888.88,1000.65,-888.88,-888.88,-888.88
1976,1401.6,1068.85,266.31,458.47,893.54,315.33,-888.88,-888.88,-888.88,2293.3,822.4295,30267.06,23883.93,4801.68,169.44,-888.88,-888.88,-888.88,1008.63,-888.88,-888.88,-888.88
1977,1532.4,950.54,404.01,374.43,1627,107.24,-888.88,-888.88,-888.88,1662.31,899.8139,32132.75,20625.55,4687.57,105.41,-888.88,-888.88,-888.88,1367.85,-888.88,-888.88,-888.88
1978,1361.9,853.1,352.47,291.3,1532.09,255.62,-888.88,-888.88,-888.88,2223.625,929.5458,34458.6,22800.03,4344.12,220.58,-888.88,-888.88,-888.88,777.8,-888.88,-888.88,-888.88
1979,1193.7,1027.15,325.96,643.06,1303.97,312.97,-888.88,-888.88,-888.88,2067.76,730.2599,27052.46,19998.76,3305.29,224.96,-888.88,-888.88,-888.88,657.1,-888.88,-888.88,-888.88
1980,1355.2,1432.73,480.17,765.66,2287.8,203.3,-888.88,-888.88,-888.88,2893.65,812.2427,32640.9,22865.33,4172.45,226.37,-888.88,-888.88,-888.88,731.5,-888.88,-888.88,-888.88
1981,1585.3,1081.04,289.02,644.96,659.86,187.38,-888.88,-888.88,-888.88,2799.31,781.2561,33569.6,21826.13,1661.82,256.16,-888.88,-888.88,-888.88,901.25,-888.88,-888.88,-888.88
1982,1410,884.34,268.99,583.68,1182.86,54.89,-888.88,-888.88,-888.88,2652.94,710.371,29582.5,17909.25,2208.17,266.29,-888.88,-888.88,-888.88,707.97,-888.88,-888.88,-888.88
1983,1637.7,983.38,270.095,810.43,961.3,198.535,-888.88,-888.88,-888.88,1549.54,575.3124,21137,15907.71,2072.65,276.4,-888.88,-888.88,-888.88,967,-888.88,-888.88,-888.88
1984,1200.1,1030.06,269.86,529.53,817.46,190.93,-888.88,-888.88,-888.88,2499.24,650.8752,25266.18,20669.52,1823.43,179.87,-888.88,-888.88,-888.88,727.95,-888.88,-888.88,-888.88
1985,1424.8,1448.195,366.07,725.13,733.15,172.02,-888.88,-888.88,-888.88,2572.53,631.3872,27393.5,20481.87,1854.91,250.08,-888.88,-888.88,-888.88,1284.3,-888.88,-888.88,-888.88
1986,1310.6,621.11,234.57,357.35,710.54,167.25,-888.88,-888.88,-888.88,2240.13,644.8018,26268.74,17124.7,1835.73,211.31,-888.88,-888.88,-888.88,1021.175,-888.88,-888.88,-888.88
1987,1290.4,1161.78,367.05,847.64,1297.98,-888.88,-888.88,-888.88,-888.88,3123.31,660.3711,25875.5,21012.835,2890.06,610.87,-888.88,-888.88,-888.88,1036.7,-888.88,-888.88,-888.88
1988,1234.2,1167.655,333.4,489.21,1086.89,-888.88,-888.88,-888.88,-888.88,3357.06,653.5294,25431.2,19860.265,2250.655,1877.11,-888.88,-888.88,-888.88,960.86,-888.88,-888.88,-888.88
1989,1553.2,1412.34,465.76,926.36,1345.1,-888.88,-888.88,-888.88,-888.88,3461.126,781.7475,31074.15,24253.86,2945.98,601.84,-888.88,-888.88,-888.88,1008.69,-888.88,-888.88,-888.88
1990,1669.5,1292.505,439.73,887.76,1224.66,-888.88,-888.88,-888.88,-888.88,5690.37,790.4785,34681,24646.76,2547.535,2590.29,-888.88,-888.88,-888.88,1021.535,-888.88,-888.88,-888.88
1991,1421.8,1113.145,375.07,645.42,1265.505,-888.88,-888.88,-888.88,-888.88,5777.777,688.0485,26950.215,21474.445,2402.165,3407.05,-888.88,-888.88,-888.88,752.54,-888.88,-888.88,-888.88
1992,1372,933.76,350.74,850.92,1495.2,137.2,-888.88,-888.88,-888.88,3108.315,694.2693,26892.87,22275.19,2960.34,626.24,-888.88,-888.88,-888.88,742.86,-888.88,-888.88,-888.88
1993,1404.7,1258.68,371.48,649.05,1800.13,219.29,-888.88,-888.88,-888.88,3455.69,770.2955,30407.05,25933.25,3545.06,167.05,-888.88,-888.88,-888.88,841.17,-888.88,-888.88,-888.88
1994,1156.2,1009.93,294.1,674.47,1022.43,-888.88,-888.88,-888.88,-888.88,3019.839,623.8304,23932.79,21071.3,2044.59,409.52,-888.88,-888.88,-888.88,779.41,-888.88,-888.88,-888.88
1995,1806.1,1244.75,536.52,723.6,2952.74,-888.88,-888.88,-888.88,-888.88,3371.8985,735.6817,25386.96,23651.21,5788.77,466.495,14162.55,8978.855,1524.04,1251.18,-888.88,-888.88,-888.88
1996,1608.3,1188.68,418.63,762.65,1910.88,-888.88,-888.88,-888.88,-888.88,5718.248,678.6986,26581.57,23345.69,3680.96,2686.09,15311.045,10272.315,1959.76,1015.66,-888.88,-888.88,-888.88
1997,1290.2,1080.3,282.91,893.4,938.66,245.87,-888.88,-888.88,-888.88,2982.135,492.5448,20252.37,19670.41,2012.86,145.94,11657.57,6200.57,556.42,724.45,-888.88,-888.88,-888.88
1998,1508.3,1566.02,385.46,922.67,1279.26,-888.88,-888.88,-888.88,-888.88,3396.94,623.1146,23875.99,22138.26,2548.04,224.39,14881.49,7730.82,752.65,832.42,-888.88,-888.88,-888.88
1999,1667.9,1806.62,510.05,1168.18,1779.13,224.02,-888.88,-888.88,-888.88,4619.62,722.1441,28179.48,22711.96,3436.88,301.6,13680.82,10741.095,2262.005,1571.45,-888.88,-888.88,-888.88
2000,1165.1,830.61,220.605,509.08,781.295,-888.88,-888.88,-888.88,-888.88,2282.83,448.351,16821.11,17643.47,1663.41,55.115,13074.02,7622.865,1658.785,885.955,-888.88,-888.88,-888.88
2001,1271.5,1236.14,328.77,760.7,1345.9,-888.88,-888.88,-888.88,-888.88,3639.233,456.8774,18812.57,19293.82,2350.36,669.2,11445.255,9343.925,2546.12,705.04,-888.88,-888.88,-888.88
2002,1179.2,1213.72,284.275,1211.215,914.75,-888.88,-888.88,-888.88,-888.88,3508.865,383.3201,16257.855,15019.685,1739.87,993.81,9468.125,6267.65,915.06,651,-888.88,-888.88,-888.88
2003,1690.5,1200.17,430.2,687.76,1978.02,-888.88,-888.88,-888.88,-888.88,3215.105,522.0784,21711.75,19017.51,3650.32,289.59,15326.98,6827.605,410.215,874.07,-888.88,-888.88,-888.88
2004,1435,859.46,298.19,552.92,1435.93,-888.88,-888.88,-888.88,-888.88,6308.138,416.2544,18347.61,14679.11,2604.23,4452.77,14495.01,5043.8,540.48,717.5,-888.88,-888.88,-888.88
2005,1791,1185.94,389.145,845.655,1629.485,-888.88,-888.88,-888.88,-888.88,2882.3905,437.8343,20490.8,14685.59,3052.29,550.165,12464.345,5778.95,1191.1,892.06,-888.88,-888.88,-888.88
2006,1554.6,813.31,257.75,727.89,938.14,32.67,-888.88,-888.88,-888.88,1809.17,339.0247,15895.36,11986.03,1713.705,19.98,7578.13,4447.395,657.375,802.45,-888.88,-888.88,-888.88
2007,1609.7,1288.39,323.845,471.615,1122.12,-888.88,-888.88,-888.88,-888.88,3750.96,473.4558,22232.575,17235.385,2103.58,80.34,12645.8,6620.18,304.285,804.85,-888.88,-888.88,-888.88
2008,1653.5,985.31,327.64,632.86,1141.59,-888.88,140.78,-888.88,-888.88,1921.445,356.6275,16287.54,12813.87,2151.48,13.26,14635.8,5666,1435.01,826.75,-888.88,-888.88,-888.88
2009,1526.9,961.46,311.78,518.63,1086.42,-888.88,83.368,-888.88,-888.88,1381.25,201.9612,10210.21,9176.65,2213.83,0,8900.7,3913.39,842.25,0,-888.88,-888.88,-888.88
2010,1725.5,1475.94,412.38,788.92,1676.37,-888.88,181.1775,-888.88,-888.88,1871.31,268.1857,13150.46,12319.56,3368.03,4.3,12658.95,5134.025,1105.415,-888.88,-888.88,-888.88,-888.88
2011,1680.2,1432.34,354.93,674.81,1123.36,-888.88,176.421,-888.88,-888.88,1761.25,219.4051,10320.86,11158.16,2189.45,0,12440.345,4880.485,1437.56,-888.88,-888.88,-888.88,-888.88
2012,1473,941.29,272.95,775.87,1571.91,-888.88,129.043,-888.88,-888.88,1012.502,153.1911,6939.83,8604.74,2608.94,0,11395.28,4287.66,1353.66,-888.88,-888.88,-888.88,-888.88
2013,1436.1,1133.37,262.52,1002.69,2748.3,-888.88,124.582,80.466,81.362,2654.9615,185.48,7723.71,11120.38,2528.355,5.285,15001.255,5006.555,482.49,718.05,27.42,35.94,430.83
2014,1325.9,934.17,235.265,760.72,1947.475,-888.88,106.072,79.554,70.717,1619.448,146.5111,5371.29,8385.27,2937.92,13.77,14144.1,3455.78,-888.88,703.18,13.07,22.955,422.75
2015,1512.3,1072.935,235.31,738.79,2242.45,-888.88,120.984,90.738,96.921,1786.747,137.9624,5096.025,7397.275,3304.59,3.17,16725.62,3397.455,412.1,1780.43,12.86,45.32,499.74
2016,1486.9,1150.26,295.19,1010.04,2204.28,-888.88,118.952,89.214,78.296,2026.802,151.8839,5101.72,10101.07,2824.315,63.35,21053.91,4360.28,-888.88,865.61,21.25,38.95,471.78
2017,1563,1315.12,287.71,1116.405,1647.8,-888.88,144.362,96.003,80.676,2492.706,155.6827,5574.51,10324.38,3221.56,24.11,20431.61,4586.29,-888.88,1008.515,33.69,28.54,473.26
2018,1902.9,1259.83,415.67,1241.34,2348.55,-888.88,223.892,176.396,101.735,2311.316,160.8978,5777.61,11097.69,4883.94,62.67,27425.06,4923.88,-888.88,1331.76,45.71,27.63,589.76
2019,1521.7,2282.55,913.02,5934.63,2130.38,-888.88,365.208,91.302,76.085,2678.192,74.5296,5934.63,11108.41,4565.1,152.17,79280.57,6086.8,1369.53,760.85,304.34,0,456.51
