"WaterYear","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux"
1973,1520.227,26221.24555,4128.4532,7059.6865,9761.2247,-888.88,-888.88,-888.88,-888.88,448.1513,98.5678848562397,104632.56275,1370.9076,4130.04155,18.29755,-888.88,-888.88,-888.88,-888.88,84965.1045,-888.88,-888.88,-888.88
1974,898.959,15524.37275,2504.87195,3675.45825,6220.15355,-888.88,-888.88,-888.88,-888.88,177.8544,36.6721787191665,62281.855,368.80335,3115.0125,7.1835,-888.88,-888.88,-888.88,-888.88,52980.9975,-888.88,-888.88,-888.88
1975,1307.643,21552.56245,3278.2003,5596.20515,8529.4374,-888.88,-888.88,-888.88,-888.88,201.3936,49.9051710360162,86209.1565,514.0965,3584.91695,16.14295,-888.88,-888.88,-888.88,-888.88,75842.476,-888.88,-888.88,-888.88
1976,931.66,14274.22915,2203.6081,4256.57635,6213.72375,-888.88,-888.88,-888.88,-888.88,94.9894,33.3082587577559,58907.18975,1048.7113,2810.0653,42.995,-888.88,-888.88,-888.88,-888.88,53021.2925,-888.88,-888.88,-888.88
1977,1059.776,17305.14665,2562.27475,4715.32015,6782.1139,-888.88,-888.88,-888.88,-888.88,116.59265,41.4613829566396,62431.007,776.912,3127.001225,63.4728,-888.88,-888.88,-888.88,-888.88,58462.4825,-888.88,-888.88,-888.88
1978,887.817,13588.26035,2073.73745,3253.18475,5663.45385,-888.88,-888.88,-888.88,-888.88,112.83915,49.1518179181314,50048.651,283.97525,3560.20405,50.741,-888.88,-888.88,-888.88,-888.88,42837.834,-888.88,-888.88,-888.88
1979,751.204,12121.9888,1965.3686,4177.96505,5366.944,-888.88,-888.88,-888.88,-888.88,134.8564,37.4620402539885,43362.5975,1371.96335,3905.6921,41.70295,-888.88,-888.88,-888.88,-888.88,41425.253,-888.88,-888.88,-888.88
1980,773.999,12813.8405,2184.2047,3676.27935,6135.45345,-888.88,-888.88,-888.88,-888.88,161.61785,50.5950548789464,47072.4075,660.0511,5135.51045,24.2006,-888.88,-888.88,-888.88,-888.88,43422.5905,-888.88,-888.88,-888.88
1981,1136.935,17453.36555,2767.00815,4496.7919,7815.5139,-888.88,-888.88,-888.88,-888.88,169.2543,53.7466091023991,66305.624,681.05855,4078.0555,53.0506,-888.88,-888.88,-888.88,-888.88,66932.778,-888.88,-888.88,-888.88
1982,815.342,12249.641,1986.9003,3039.75025,5610.2191,-888.88,-888.88,-888.88,-888.88,107.6169,30.7518547443322,46069.0635,422.71315,3376.38765,28.8273,-888.88,-888.88,-888.88,-888.88,42652.614,-888.88,-888.88,-888.88
1983,1036.448,14687.69295,2261.85785,3596.7232,6553.15785,-888.88,-888.88,-888.88,-888.88,134.58825,45.8487060073993,53177.282,120.4757,4073.2393,56.6288,-888.88,-888.88,-888.88,-888.88,49986.691,-888.88,-888.88,-888.88
1984,650.408,9053.00125,1478.88285,1970.0296,4406.8273,-888.88,-888.88,-888.88,-888.88,88.1806,34.2656716405175,34166.2345,430.60005,2795.29115,35.5326,-888.88,-888.88,-888.88,-888.88,33700.7055,-888.88,-888.88,-888.88
1985,903.729,11795.7287,1995.07155,2431.98565,5603.8821,-888.88,-888.88,-888.88,-888.88,179.00615,63.59714421441,44854.277,486.09825,3145.5182,61.1151,-888.88,-888.88,-888.88,-888.88,42645.088,-888.88,-888.88,-888.88
1986,792.238,11220.5634,1970.3029,2220.2452,5598.8486,-888.88,-888.88,-888.88,-888.88,162.09355,49.0596322024038,40665.165,3671.41405,2649.47615,74.2022,-888.88,-888.88,-888.88,-888.88,41338.795,-888.88,-888.88,-888.88
1987,707.559,10240.9826,1893.15845,2356.24585,5316.4764,-888.88,-888.88,-888.88,-888.88,127.74625,50.7028318619064,36936.32,2297.0206,3392.1478,81.5226,-888.88,-888.88,-888.88,-888.88,37069.553,-888.88,-888.88,-888.88
1988,652.826,9378.78625,1742.38155,2115.3835,4986.8723,-888.88,-888.88,-888.88,-888.88,119.88535,43.447563372156,35333.6875,1127.3962,3480.0698,1.82645,-888.88,-888.88,-888.88,-888.88,31011.8755,-888.88,-888.88,-888.88
1989,1074.845,16429.80325,2858.28195,3751.5356,8224.6458,-888.88,-888.88,-888.88,-888.88,208.14535,80.4765858002649,55593.97,12527.6906,4639.74325,50.5255,-888.88,-888.88,-888.88,-888.88,54119.1765,-888.88,-888.88,-888.88
1990,1145.917,17364.6365,3102.26735,3269.27625,7778.62175,-888.88,-888.88,-888.88,-888.88,224.97125,64.1844640603471,57533.783,11760.2609,4451.88205,78.33415,-888.88,-888.88,-888.88,-888.88,55774.017,-888.88,-888.88,-888.88
1991,886.882,12325.02475,2238.4401,1822.06205,5743.14065,-888.88,-888.88,-888.88,-888.88,173.03795,55.2064687493445,44633.702,2606.3115,3163.6821,22.66695,-888.88,-888.88,-888.88,-888.88,41522.298,-888.88,-888.88,-888.88
1992,884.775,11260.3016,2011.0761,1516.5607,5991.83825,-888.88,-888.88,-888.88,-888.88,271.6032,55.9945081074807,43242.866,1623.2083,3298.4604,6.87665,-888.88,-888.88,-888.88,-888.88,41243.8655,-888.88,-888.88,-888.88
1993,866.865,10983.15085,1877.4523,1665.91315,5931.2867,-888.88,-888.88,-888.88,-888.88,142.02555,57.4733638167834,42235.8671,1796.08005,4375.4603,0.11185,-888.88,-888.88,-888.88,-888.88,38449.5745,-888.88,-888.88,-888.88
1994,570.58,7586.1216,1359.1225,1024.67705,4638.75675,-888.88,-888.88,-888.88,-888.88,83.0506,33.0387135648184,28253.48495,2906.5915,2712.20915,0,-888.88,-888.88,-888.88,-888.88,29493.86,-888.88,-888.88,-888.88
1995,1384.405,16239.6233,2870.30875,2779.3658,10174.2857,-888.88,-888.88,-888.88,-888.88,160.03335,95.955596603219,63549.1612,4554.1873,7989.37905,0,-888.88,-888.88,-888.88,-888.88,63085.1785,-888.88,-888.88,-888.88
1996,1183.399,12931.96965,2304.27915,2460.23985,8124.85885,-888.88,-888.88,-888.88,-888.88,128.3162,74.1151665516599,47728.26615,8955.7878,5843.73045,0,-888.88,-888.88,-888.88,5787.55851439875,48855.4225,-888.88,-888.88,-888.88
1997,738.93,7902.1175,1459.6075,1240.95955,4890.4011,-888.88,-888.88,-888.88,-888.88,114.9138,36.4334378646501,30375.19975,3530.25635,2606.2648,6.10115,12211.33265,-888.88,-888.88,3165.60974856375,33432.4925,-888.88,-888.88,-888.88
1998,1015.728,14088.06935,2529.8105,2121.1935,7735.75785,-888.88,-888.88,-888.88,-888.88,105.02735,74.3316875879026,38532.64395,29375.99475,4132.9816,0,14123.32375,-888.88,-888.88,4414.31484664775,50834.925,-888.88,-888.88,-888.88
1999,1094.722,12343.56885,2203.1137,2012.51425,7517.98245,-888.88,-888.88,-888.88,-888.88,113.2157,69.3065822087104,45622.46015,9644.09635,4887.99555,0,12836.67845,-888.88,-888.88,5235.918284502,52556.138,-888.88,-888.88,-888.88
2000,694.724,7250.8356,1365.06715,1156.9302,4748.1184,-888.88,-888.88,-888.88,-888.88,69.80465,35.038355152066,29510.5695,3757.6003,2552.8486,0,8124.0302,-888.88,-888.88,3486.930051524,33529.205,-888.88,-888.88,-888.88
2001,790.179,7757.04815,1441.8079,1065.1174,5821.673,-888.88,-888.88,-888.88,-888.88,80.2369,44.3847841096127,32980.17855,1872.59085,3761.7652,0,9245.0943,-888.88,-888.88,3666.24733249425,37386.9375,-888.88,-888.88,-888.88
2002,723.932,6894.465,1304.781,961.61875,5364.3629,-888.88,-888.88,-888.88,-888.88,73.5083,39.9020074757419,29170.319,3244.5813,3320.28925,0.23895,8470.0044,-888.88,-888.88,3399.83089702025,33886.772,-888.88,-888.88,-888.88
2003,1241.894,11490.0098,2094.14935,1411.3517,8925.09435,-888.88,-888.88,-888.88,-888.88,124.1894,69.7273334357922,47736.54875,4301.79105,5909.6217,0,14530.1598,-888.88,-888.88,5934.373863692,57640.177,-888.88,-888.88,-888.88
2004,1042.28,9075.4747,1724.0756,1253.12765,7599.09485,-888.88,-888.88,-888.88,-888.88,105.87875,48.4418918655057,39467.4338,2082.4344,4401.468,0,12194.676,-888.88,-888.88,5365.95633936375,46834.6585,-888.88,-888.88,-888.88
2005,1322.622,11304.12765,2071.6866,1290.8667,9195.51585,-888.88,-888.88,-888.88,-888.88,132.2622,54.7133479075873,47396.3753,1677.77475,5398.8533,0,15474.6774,-888.88,-888.88,6469.64277602725,56372.9035,-888.88,-888.88,-888.88
2006,1040.987,8475.54065,1616.45095,1166.9968,7027.7993,-888.88,-888.88,-888.88,-888.88,104.0987,43.5693830910001,35381.55655,3361.54025,3864.9341,0,12179.5479,-888.88,-888.88,4633.15619797525,43839.5805,-888.88,-888.88,-888.88
2007,1120.798,8640.40245,1701.26005,974.8763,7314.88965,-888.88,-888.88,-888.88,-888.88,112.0798,47.3873236467759,38276.40995,952.48195,3468.8358,0,13113.3366,-888.88,-888.88,5062.09682532575,48913.144,-888.88,-888.88,-888.88
2008,1201.278,8752.24025,1715.39295,664.76095,7380.48315,-888.88,-888.88,-888.88,-888.88,120.1278,46.5035173216568,38903.53135,514.3331,3256.545525,0,14054.9526,-888.88,-888.88,6334.31714268463,55005.1575,-888.88,-888.88,-888.88
2009,1145.181,7906.92375,1575.2485,750.32465,7017.12145,-888.88,-888.88,-888.88,-888.88,114.5181,40.1676831810834,34334.1296,296.10145,3372.79335,0,13398.6177,-888.88,-888.88,4757.79277862625,52998.047,-888.88,-888.88,-888.88
2010,1206.522,7680.80465,1573.1811,1054.5858,7401.5025,-888.88,-888.88,-888.88,-888.88,120.6522,54.797878362617,34007.8027,721.20225,4383.10615,0,14116.3074,-888.88,-888.88,5144.0254199775,51836.0595,-888.88,-888.88,-888.88
2011,1103.379,6762.00875,1380.93555,662.497,7163.61585,-888.88,569.48035,255.6894,-888.88,110.3379,41.2254299903228,30185.996,592.8772,3241.21625,4.03665,12909.5343,-888.88,-888.88,4281.267037819,52445.497,-888.88,-888.88,-888.88
2012,954.13,5786.9425,1238.23625,547.85955,7099.12335,-888.88,441.4072,213.3147,-888.88,80.79155,27.5656620232422,26104.91825,630.10015,3622.1397,8.1507,12128.5619,-888.88,-888.88,4841.84032030525,47495.857,-888.88,-888.88,-888.88
2013,963.62,5701.0847,1310.9402,1086.8925,7551.2693,-888.88,490.26165,211.1037,717.2366,25.155,26.0731324235658,25513.17835,2155.42855,3404.5953,4.4702,15462.4938,1076.84515,697.00085,4338.01653861425,46419.80915,98.94505,9.6042,294.25985
2014,803.431,4613.9784,1019.71085,565.73325,5559.8319,-888.88,378.916,185.89425,752.64445,37.6473,24.8785720138574,20196.3292,752.37535,3737.0316,0,12594.7521,598.6022,573.60705,4454.50679700075,39646.77085,74.58865,0,241.4033
2015,999.688,5643.788175,1125.939325,731.19075,6876.5508,-888.88,431.08245,213.50575,895.3709,33.13815,32.1232428957268,24030.41225,304.6152,4432.75565,1.668,16805.7633,534.74655,667.65025,4624.07252556475,49094.7626,70.1732,22.539125,299.9064
2016,759.468,3970.1359,853.17305,515.222,4546.15125,-888.88,408.37005,120.5887,718.55085,17.58845,24.7315672225395,17377.0289,290.0628,3513.6757,0,11852.24195,393.61055,451.6325,3346.5659509515,33687.97325,17.4147,14.09765,247.74325
2017,939.377,5626.7937,1133.3882,1339.83895,6540.469,-888.88,574.3385,236.3373,867.15435,60.00945,30.3229558028622,22840.65905,429.1779,4672.3112,0,18772.05735,553.4109,574.3052,7182.6476413795,43952.0417,94.9856,44.5054,495.21215
2018,1126.716,5060.431225,1057.481775,537.925975,6056.0036,-888.88,621.83955,287.235325,1131.310825,115.80875,32.6389538083734,23342.427925,396.2041,4386.490625,9.1857,21220.424775,737.914075,752.077975,5310.67312973263,48000.0251,53.971625,17.0132,338.0148
