"WaterYear","volwt_pH","ANC","precip_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","H_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","totN"
1989,4.3,-48.61758549218,1553.2,1412.34,465.76,926.36,1345.1,NA,NA,NA,NA,3461.126,781.7475,31074.15,24253.86,2945.98,601.84,NA,NA,NA,1008.69,NA,NA,NA,27714.986
1990,4.32,-42.9474581091358,1669.5,1292.505,439.73,887.76,1224.66,NA,NA,NA,NA,5690.37,790.4785,34681,24646.76,2547.535,2590.29,NA,NA,NA,1021.535,NA,NA,NA,30337.13
1991,4.32,-35.7747509472832,1421.8,1113.145,375.07,645.42,1265.505,NA,NA,NA,NA,5777.777,688.0485,26950.215,21474.445,2402.165,3407.05,NA,NA,NA,752.54,NA,NA,NA,27252.222
1992,4.3,-49.5051434217047,1372,933.76,350.74,850.92,1495.2,137.2,NA,NA,NA,3108.315,694.2693,26892.87,22275.19,2960.34,626.24,NA,NA,NA,742.86,NA,NA,NA,25383.505
1993,4.26,-55.5588571995282,1404.7,1258.68,371.48,649.05,1800.13,219.29,NA,NA,NA,3455.69,770.2955,30407.05,25933.25,3545.06,167.05,NA,NA,NA,841.17,NA,NA,NA,29388.94
1994,4.27,-51.8793220629007,1156.2,1009.93,294.1,674.47,1022.43,NA,NA,NA,NA,3019.839,623.8304,23932.79,21071.3,2044.59,409.52,NA,NA,NA,779.41,NA,NA,NA,24091.139
1995,4.39,-36.4306419414838,1806.1,1244.75,536.52,723.6,2952.74,NA,NA,NA,NA,3371.8985,735.6817,25386.96,23651.21,5788.77,466.495,14162.55,8978.855,1524.04,1251.18,NA,NA,NA,27023.1085
1996,4.37,-33.261109464965,1608.3,1188.68,418.63,762.65,1910.88,NA,NA,NA,NA,5718.248,678.6986,26581.57,23345.69,3680.96,2686.09,15311.045,10272.315,1959.76,1015.66,NA,NA,NA,29063.938
1997,4.42,-39.2555414517873,1290.2,1080.3,282.91,893.4,938.66,245.87,NA,NA,NA,2982.135,492.5448,20252.37,19670.41,2012.86,145.94,11657.57,6200.57,556.42,724.45,NA,NA,NA,22652.545
1998,4.38,-37.6833557613266,1508.3,1566.02,385.46,922.67,1279.26,NA,NA,NA,NA,3396.94,623.1146,23875.99,22138.26,2548.04,224.39,14881.49,7730.82,752.65,832.42,NA,NA,NA,25535.2
1999,4.36,-34.3851384405781,1667.9,1806.62,510.05,1168.18,1779.13,224.02,NA,NA,NA,4619.62,722.1441,28179.48,22711.96,3436.88,301.6,13680.82,10741.095,2262.005,1571.45,NA,NA,NA,27331.58
2000,4.41,-39.0304008745346,1165.1,830.61,220.605,509.08,781.295,NA,NA,NA,NA,2282.83,448.351,16821.11,17643.47,1663.41,55.115,13074.02,7622.865,1658.785,885.955,NA,NA,NA,19926.3
2001,4.44,-32.0033509275413,1271.5,1236.14,328.77,760.7,1345.9,NA,NA,NA,NA,3639.233,456.8774,18812.57,19293.82,2350.36,669.2,11445.255,9343.925,2546.12,705.04,NA,NA,NA,22933.053
2002,4.49,-25.0713623802548,1179.2,1213.72,284.275,1211.215,914.75,NA,NA,NA,NA,3508.865,383.3201,16257.855,15019.685,1739.87,993.81,9468.125,6267.65,915.06,651,NA,NA,NA,18528.55
2003,4.51,-29.4127049232852,1690.5,1200.17,430.2,687.76,1978.02,NA,NA,NA,NA,3215.105,522.0784,21711.75,19017.51,3650.32,289.59,15326.98,6827.605,410.215,874.07,NA,NA,NA,22232.615
2004,4.54,-14.59235802661,1435,859.46,298.19,552.92,1435.93,NA,NA,NA,NA,6308.138,416.2544,18347.61,14679.11,2604.23,4452.77,14495.01,5043.8,540.48,717.5,NA,NA,NA,20987.248
2005,4.61,-23.3177035161758,1791,1185.94,389.145,845.655,1629.485,NA,NA,NA,NA,2882.3905,437.8343,20490.8,14685.59,3052.29,550.165,12464.345,5778.95,1191.1,892.06,NA,NA,NA,17567.9805
2006,4.66,-23.1183148560392,1554.6,813.31,257.75,727.89,938.14,32.67,NA,NA,NA,1809.17,339.0247,15895.36,11986.03,1713.705,19.98,7578.13,4447.395,657.375,802.45,NA,NA,NA,13795.2
2007,4.53,-28.10852436499,1609.7,1288.39,323.845,471.615,1122.12,NA,NA,NA,NA,3750.96,473.4558,22232.575,17235.385,2103.58,80.34,12645.8,6620.18,304.285,804.85,NA,NA,NA,20986.345
2008,4.67,-22.3797121189218,1653.5,985.31,327.64,632.86,1141.59,NA,140.78,NA,NA,1921.445,356.6275,16287.54,12813.87,2151.48,13.26,14635.8,5666,1435.01,826.75,NA,NA,NA,14735.315
2009,4.88,-14.955438750553,1526.9,961.46,311.78,518.63,1086.42,NA,83.368,NA,NA,1381.25,201.9612,10210.21,9176.65,2213.83,0,8900.7,3913.39,842.25,0,NA,NA,NA,10557.9
2010,4.81,-15.9842301814856,1725.5,1475.94,412.38,788.92,1676.37,NA,181.1775,NA,NA,1871.31,268.1857,13150.46,12319.56,3368.03,4.3,12658.95,5134.025,1105.415,NA,NA,NA,NA,14190.87
2011,4.88,-11.8075034875169,1680.2,1432.34,354.93,674.81,1123.36,NA,176.421,NA,NA,1761.25,219.4051,10320.86,11158.16,2189.45,0,12440.345,4880.485,1437.56,NA,NA,NA,NA,12919.41
2012,4.98,-10.5103934932242,1473,941.29,272.95,775.87,1571.91,NA,129.043,NA,NA,1012.502,153.1911,6939.83,8604.74,2608.94,0,11395.28,4287.66,1353.66,NA,NA,NA,NA,9617.242
2013,4.89,-3.6117112169546,1436.1,1133.37,262.52,1002.69,2748.3,NA,124.582,80.466,81.362,2654.9615,185.48,7723.71,11120.38,2528.355,5.285,15001.255,5006.555,482.49,718.05,27.42,35.94,430.83,13775.3415
2014,4.96,-5.76312106708438,1325.9,934.17,235.265,760.72,1947.475,NA,106.072,79.554,70.717,1619.448,146.5111,5371.29,8385.27,2937.92,13.77,14144.1,3455.78,NA,703.18,13.07,22.955,422.75,10004.718
2015,5.04,-2.52548392738234,1512.3,1072.935,235.31,738.79,2242.45,NA,120.984,90.738,96.921,1786.747,137.9624,5096.025,7397.275,3304.59,3.17,16725.62,3397.455,412.1,1780.43,12.86,45.32,499.74,9184.022
2016,4.99,-2.7350441128659,1486.9,1150.26,295.19,1010.04,2204.28,NA,118.952,89.214,78.296,2026.802,151.8839,5101.72,10101.07,2824.315,63.35,21053.91,4360.28,NA,865.61,21.25,38.95,471.78,12127.872
2017,5,-3.85782790042677,1563,1315.12,287.71,1116.405,1647.8,NA,144.362,96.003,80.676,2492.706,155.6827,5574.51,10324.38,3221.56,24.11,20431.61,4586.29,NA,1008.515,33.69,28.54,473.26,12817.086
2018,5.07,-4.89967419924321,1902.9,1259.83,415.67,1241.34,2348.55,NA,223.892,176.396,101.735,2311.316,160.8978,5777.61,11097.69,4883.94,62.67,27425.06,4923.88,NA,1331.76,45.71,27.63,589.76,13409.006
2019,5.31,7.42070669171652,1521.7,2282.55,913.02,5934.63,2130.38,NA,365.208,91.302,76.085,2678.192,74.5296,5934.63,11108.41,4565.1,152.17,79280.57,6086.8,1369.53,760.85,304.34,0,456.51,13786.602
